measure,A,B,region,tstat,pvalue_corrected
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_21,-0.5275592946152932,0.7593773311861483
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_22,-1.8163693758928863,0.11004543508983149
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_23,-0.5636488065060563,0.5746973248037492
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_24,-0.6176839347010215,0.6392112891565784
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_25,-0.29184180069717935,0.7712241737343069
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_26,-0.9002190637427053,0.7530876454865416
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_27,-0.5590127201967441,0.838007124390026
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_28,-0.1329157109095963,0.89462081834689
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_29,-0.5281451050035684,0.8564485639827026
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_3,0.5868353646910813,0.837685783522658
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_30,-0.7381117390160926,0.7202732872942317
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_31,0.0518246617912309,0.9588080474970471
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_32,-0.7320744079672824,0.7457647700829899
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_33,-0.753268997342406,0.6993641901307867
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_34,-2.283010421904105,0.07590831325356205
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_35,-0.2929962276922302,0.7703450879147765
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_36,0.25535799842808293,0.9558530510923091
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_37,-0.32487600527903504,0.9260358574624715
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_38,-1.2126435124614885,0.34368495417259615
