,comp,region_idx,diff,tstat,pvalue,signif
28207,ecc,140,baseline_2_early_learning,-0.5686015122335017,0.5712601005076214,0
28208,ecc,140,baseline_2_late_learning,-1.5331926861417884,0.12927464074359118,0
28211,ecc,140,early_learning_2_late_learning,-0.7963387556921798,0.4282522795965855,0
28216,ecc,141,baseline_2_early_learning,-1.308084160980736,0.19468665309712818,0
28217,ecc,141,baseline_2_late_learning,-1.1603737080740975,0.24943599893558474,0
28220,ecc,141,early_learning_2_late_learning,0.2461878095037716,0.8061835578930707,0
28225,ecc,142,baseline_2_early_learning,-2.3675505617698898,0.020384524462458864,1
28226,ecc,142,baseline_2_late_learning,-1.9065819176758347,0.06025761965521699,0
28229,ecc,142,early_learning_2_late_learning,0.46750655250623085,0.6414410132275189,0
28234,ecc,143,baseline_2_early_learning,-1.652335366715481,0.10248638240746731,0
28235,ecc,143,baseline_2_late_learning,-1.9484295626406434,0.05496026331000963,0
28238,ecc,143,early_learning_2_late_learning,-0.18128281109038574,0.8566158430813786,0
28243,ecc,144,baseline_2_early_learning,-1.1082297210534802,0.27116821205211133,0
28244,ecc,144,baseline_2_late_learning,-0.14105398422661755,0.8881909500750682,0
28247,ecc,144,early_learning_2_late_learning,0.8480481029062203,0.3990061065884287,0
28252,ecc,145,baseline_2_early_learning,-0.5877184404974073,0.5584189839458467,0
28253,ecc,145,baseline_2_late_learning,-1.0452283667411446,0.29914587846026647,0
28256,ecc,145,early_learning_2_late_learning,-0.4290397278590423,0.6690769997121015,0
28261,ecc,146,baseline_2_early_learning,-1.9477457257424722,0.05504353954115991,0
28262,ecc,146,baseline_2_late_learning,-1.0810979055840237,0.28298481788476587,0
28265,ecc,146,early_learning_2_late_learning,0.6667406577732502,0.5069053022601662,0
28270,ecc,147,baseline_2_early_learning,-2.48103357515237,0.015252277474421816,1
28271,ecc,147,baseline_2_late_learning,-2.6893665580133703,0.008751351563816137,1
28274,ecc,147,early_learning_2_late_learning,-0.10932803528571683,0.9132230923837272,0
28279,ecc,148,baseline_2_early_learning,-1.5487437965069162,0.12549141406741537,0
28280,ecc,148,baseline_2_late_learning,-1.9836831344688848,0.0508098750746531,0
28283,ecc,148,early_learning_2_late_learning,-0.12475314913404496,0.9010399380030841,0
28288,ecc,149,baseline_2_early_learning,-1.948538528274542,0.05494700359723896,0
28289,ecc,149,baseline_2_late_learning,-1.8145688357819345,0.073434922032489,0
28292,ecc,149,early_learning_2_late_learning,0.04579097851897259,0.963593883118373,0
28297,ecc,150,baseline_2_early_learning,-0.9074084786525611,0.3669857426326303,0
28298,ecc,150,baseline_2_late_learning,-0.9933298329505691,0.32362081828780953,0
28301,ecc,150,early_learning_2_late_learning,-0.08557967767003154,0.932019846566079,0
28306,ecc,151,baseline_2_early_learning,-1.0207061006707132,0.3105491409404297,0
28307,ecc,151,baseline_2_late_learning,-0.7476963713839069,0.45689163408097566,0
28310,ecc,151,early_learning_2_late_learning,0.23138987765547883,0.8176178546895839,0
28315,ecc,152,baseline_2_early_learning,0.07617313255536756,0.9394764003432284,0
28316,ecc,152,baseline_2_late_learning,-1.4984622899180435,0.1380495624098739,0
28319,ecc,152,early_learning_2_late_learning,-1.3553966796360728,0.17920313758454118,0
28324,ecc,153,baseline_2_early_learning,-1.5572562523812459,0.12345808225773314,0
28325,ecc,153,baseline_2_late_learning,-1.2523694072675047,0.21417735392618525,0
28328,ecc,153,early_learning_2_late_learning,0.3475203085056527,0.7291364742495361,0
28333,ecc,154,baseline_2_early_learning,-0.10872583129931604,0.9136991698818795,0
28334,ecc,154,baseline_2_late_learning,-1.1497287688857052,0.2537686474907401,0
28337,ecc,154,early_learning_2_late_learning,-1.0348171810041877,0.303952001563617,0
28342,ecc,155,baseline_2_early_learning,-3.0395709165171314,0.0032238359029387906,1
28343,ecc,155,baseline_2_late_learning,-2.6677056414172378,0.009284401011585357,1
28346,ecc,155,early_learning_2_late_learning,0.22111055514903852,0.8255841497804557,0
28351,ecc,156,baseline_2_early_learning,-1.1240685621178583,0.26443146965064646,0
28352,ecc,156,baseline_2_late_learning,-1.360057389608172,0.17772983791483787,0
28355,ecc,156,early_learning_2_late_learning,-0.225312360002596,0.8223255615029772,0
28360,ecc,157,baseline_2_early_learning,-3.2470846518247107,0.001719898275655744,1
28361,ecc,157,baseline_2_late_learning,-2.218551247500291,0.02942501840079427,1
28364,ecc,157,early_learning_2_late_learning,0.9550340805706967,0.3425110027356203,0
28369,ecc,158,baseline_2_early_learning,-1.8848130086060728,0.06317983812620102,0
28370,ecc,158,baseline_2_late_learning,-1.727627031600652,0.08801278215737635,0
28373,ecc,158,early_learning_2_late_learning,0.26742234653314517,0.7898498360674886,0
28378,ecc,159,baseline_2_early_learning,-0.9137724716226211,0.36365240925902975,0
28379,ecc,159,baseline_2_late_learning,-1.2458979610875165,0.21653116124228816,0
28382,ecc,159,early_learning_2_late_learning,-0.2882587621084148,0.7739132770852453,0
28387,ecc,160,baseline_2_early_learning,-1.8628746889459908,0.06624467507517832,0
28388,ecc,160,baseline_2_late_learning,-2.5477274307096716,0.012808478776267378,1
